19.75 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 4.08e+05 -nan 4.08e+05 407966.59 39.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
20.25 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 3.53e+05 -nan 3.53e+05 353081.44 40.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
20.75 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 3.05e+05 -nan 3.05e+05 304935.25 41.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
21.25 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 2.63e+05 -nan 2.63e+05 262822.75 42.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
21.75 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 2.26e+05 -nan 2.26e+05 226088.50 43.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
22.25 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 1.94e+05 -nan 1.94e+05 194128.52 44.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
22.75 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 1.66e+05 -nan 1.66e+05 166390.58 45.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
23.25 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 1.42e+05 -nan 1.42e+05 142373.00 46.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
23.75 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 1.22e+05 -nan 1.22e+05 121622.95 47.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
24.25 0.00000 0.00000 0.00000 0.00e+00 0.09 1.56 -1.48 0.00e+00 9.88e+37 1.04e+05 -nan 1.04e+05 103733.61 48.75 0.00000 0.00000 0.00000 0.00000 0.07212 0.07212 0.00000 0.00000 0.00000 1.47710 
